Date,Open,High,Low,Close,Volume
1-Jun-10,65,66.94,64.51,65.23,2268619
31-May-10,66.21,66.21,66.21,66.21,0
28-May-10,66.34,67.17,65.52,66.21,2837359
27-May-10,65.73,66.6,64.79,66.6,2936248
26-May-10,63.01,65.95,62.45,64.48,5716314
25-May-10,59.18,61.37,58.79,61.27,3759831
24-May-10,60.2,62.94,60.2,61.75,2852122
21-May-10,55.95,60.41,55.95,60.34,3539285
20-May-10,57.9,59.44,57.23,57.86,3447888
19-May-10,59.28,60.24,57.8,58.82,1940198
18-May-10,60.77,61.95,59.15,59.78,2031763
17-May-10,60.11,61.08,58.6,60.25,1592180
14-May-10,61.16,61.38,58.93,60.2,2434423
13-May-10,62.61,64.59,61.78,62.19,3097101
12-May-10,61.4,62.92,61.19,62.84,1745673
11-May-10,59.83,62.62,59.5,60.87,1968566
10-May-10,59.66,61.19,59.66,60.64,2295165
7-May-10,57.83,58.62,53.96,56.44,4755018
6-May-10,60.5,61.5,51.23,58.65,3690591
5-May-10,59.52,61.44,58.32,60.75,1592217
4-May-10,62.09,62.09,59.7,60.56,2017398
3-May-10,62.06,63.19,61.37,62.69,1291535
30-Apr-10,62.74,62.98,61.59,61.64,1898877
29-Apr-10,63.06,63.25,62.18,62.5,1724804
28-Apr-10,62.16,62.53,60.26,62.5,1895530
27-Apr-10,63.08,63.35,61.34,61.77,2055033
26-Apr-10,62.93,63.81,62.67,63.55,1742657
23-Apr-10,61.28,62.9,60.78,62.64,2336007
22-Apr-10,60.59,61.75,59.55,61.48,3445165
21-Apr-10,58.09,62,57.05,61.66,9684467
20-Apr-10,55.95,57.31,55.16,56.52,4116429
19-Apr-10,56.17,56.73,54.69,55.56,2092620
16-Apr-10,56.62,57.84,56.11,56.39,3078664
15-Apr-10,56.53,56.92,56.1,56.43,1976420
14-Apr-10,57.52,57.58,56.15,56.65,2464950
13-Apr-10,57.12,57.25,56.5,56.64,2019328
12-Apr-10,55.3,58.39,55.26,57.25,6120094
9-Apr-10,54.08,54.81,53.7,54.71,1224918
8-Apr-10,53.43,54.24,52.8,53.87,1290500
7-Apr-10,54.32,54.63,53.45,53.78,1347847
6-Apr-10,53.96,54.9,53.44,54.6,1054580
5-Apr-10,52.53,54,52.35,53.91,1062013
2-Apr-10,52.47,52.47,52.47,52.47,0
1-Apr-10,53.58,54.07,51.66,52.47,1798249
31-Mar-10,52.86,53.48,52.14,53.3,1456864
30-Mar-10,53.31,53.63,51.93,52.98,1426288
29-Mar-10,53.95,53.95,52.51,53.21,1266868
26-Mar-10,54.68,54.68,53.31,53.53,1823488
25-Mar-10,54.6,54.99,54.26,54.49,1769351
24-Mar-10,54.18,54.67,53.79,54.3,1404401
23-Mar-10,53.88,54.55,52.73,54.35,1499686
22-Mar-10,52.78,54.07,52.13,53.78,1288250
19-Mar-10,52.95,53.32,52.13,52.98,2600855
18-Mar-10,53.49,53.92,52.72,52.85,2237782
17-Mar-10,54.05,54.32,53.3,53.47,1598341
16-Mar-10,54,54.11,53.5,54.03,830140
15-Mar-10,53.36,54.02,52.76,53.73,1198532
12-Mar-10,54.6,54.6,53.3,53.68,1763732
11-Mar-10,54.27,54.45,53.33,54.03,1382522
10-Mar-10,53.86,54.6,53.75,54.28,1357593
9-Mar-10,54.13,54.75,53.58,53.89,1723527
8-Mar-10,53.89,54.68,53.5,54.23,1497037
5-Mar-10,52.33,54.15,51.72,53.94,2852566
4-Mar-10,50.85,52.03,50.37,51.77,1547933
3-Mar-10,50.91,51.57,50.41,50.75,1340423
2-Mar-10,50.18,52.15,50.1,50.97,4577066
1-Mar-10,49.63,50.32,49.28,50.27,1916299
26-Feb-10,48.97,49.73,48.37,49.51,1337585
25-Feb-10,47.81,49.21,47.5,49.08,1498257
24-Feb-10,48.18,49.24,48.05,48.8,1784139
23-Feb-10,47.96,48.86,47.5,48.16,2006990
22-Feb-10,48.64,48.91,48.24,48.37,1540790
19-Feb-10,48.27,48.74,48.04,48.5,1865056
18-Feb-10,47.39,48.5,47.04,48.26,1977811
17-Feb-10,47.26,47.95,46.85,47.4,1353509
16-Feb-10,46.82,47.12,46.51,47.11,1348708
15-Feb-10,46.54,46.54,46.54,46.54,0
12-Feb-10,46.16,46.58,45.47,46.54,838198
11-Feb-10,45.47,46.52,45.01,46.45,1184871
10-Feb-10,45.77,45.89,44.69,45.43,1050600
9-Feb-10,44.85,45.94,44.8,45.67,2150156
8-Feb-10,44.66,45.25,43.93,44.25,1663737
5-Feb-10,44.07,44.43,42.76,44.4,2019920
4-Feb-10,45.79,45.9,44.01,44.01,1418897
3-Feb-10,45.62,46.45,45.03,46.29,1728828
2-Feb-10,45.71,46.07,44.96,45.64,1510995
1-Feb-10,44.94,45.75,44.3,45.58,2213284
29-Jan-10,46.8,46.84,45,45.41,2394536
28-Jan-10,46.82,46.89,45.31,46.31,2318122
27-Jan-10,46.88,47.25,45.3,46.66,3101237
26-Jan-10,48.84,48.95,46.7,47.29,9081485
25-Jan-10,42,42.49,41.3,42,4721738
22-Jan-10,43.69,43.69,41.09,41.58,2397146
21-Jan-10,45.18,45.69,43.25,43.94,2407571
20-Jan-10,46.06,46.2,44.53,44.98,1332836
19-Jan-10,45.9,47.16,45.77,46.69,1239063
18-Jan-10,45.92,45.92,45.92,45.92,0
15-Jan-10,47.24,47.5,45.46,45.92,1771313
14-Jan-10,45.26,47.6,45.05,47.45,3133662
13-Jan-10,44.81,45.8,43.78,45.44,1879739
12-Jan-10,44.29,44.96,43.55,44.63,1516425
11-Jan-10,45.47,45.67,44.27,44.83,1605649
